i,fr,sudut,p1,p2,galat,nyambung,f_badan,puncak_rel_badan,saddle_rel_badan,r_sel,luas_sel,st_gabung,br_gabung,terdeteksi,iou_inti,br_ref,st_ref,br_kor,st_kor
260,0.7526492317706849,0.9554174666518502,pbcseg_final_v1\MO_52244_ccrop_mask.png,pbcseg_final_v1\LY_665021_ccrop_mask.png,,True,0.07671143201463658,0.557847567851978,0.4811361358373413,78.56844150166147,27696,terpisah_di_nol,0.0,False,0.6961246200607902,0.33205723713484164,normal,0.0,terpisah_di_nol
261,0.898242129882166,4.12652515077262,pbcseg_final_v1\LY_738073_ccrop_mask.png,pbcseg_final_v1\MO_361616_ccrop_mask.png,,True,0.27693606478911187,0.6106471130689315,0.3337110482798197,63.0,25099,terpisah_di_nol,0.0,True,0.9696285655653601,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
262,0.7152910536863383,1.4697333943396882,pbcseg_final_v1\MO_963471_ccrop_mask.png,pbcseg_final_v1\MO_332437_ccrop_mask.png,,True,0.20081975230308874,0.8933009443525782,0.6924811920494894,77.20103626247513,32841,terpisah_di_nol,0.0,True,0.9583289264939185,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
263,0.9596274094220012,5.3477571071207235,pbcseg_final_v1\LY_257379_ccrop_mask.png,pbcseg_final_v1\LY_342034_ccrop_mask.png,,True,0.6412656447290116,0.8447424864922705,0.20347684176325892,45.31004303683677,14010,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
240,0.9695554956432628,4.929756902409984,pbcseg_final_v1\MO_722749_ccrop_mask.png,pbcseg_final_v1\MO_91781_ccrop_mask.png,,True,0.6151961314246591,0.9672796243913313,0.3520834929666723,63.06346010171025,30564,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
241,0.96190257062192,3.9456149123703597,pbcseg_final_v1\LY_483585_ccrop_mask.png,pbcseg_final_v1\MO_375691_ccrop_mask.png,,True,0.72816926598348,0.8955274230456016,0.16735815706212162,67.60177512462228,29188,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
250,0.9247255489720737,2.168231075469487,pbcseg_final_v1\MO_62638_ccrop_mask.png,pbcseg_final_v1\LY_875873_ccrop_mask.png,,True,0.4574572756556274,0.8974859800027294,0.440028704347102,57.9396237474839,22490,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
251,0.9081395057185654,1.6387237510306016,pbcseg_final_v1\MO_678255_ccrop_mask.png,pbcseg_final_v1\MO_269575_ccrop_mask.png,,True,0.25143695844285513,0.8985956970763458,0.6471587386334907,62.289646009589745,34747,terpisah_di_nol,0.0,True,1.0,0.4580348440537542,normal,0.4580348440537542,normal
252,0.8000135016278364,5.818191721082445,pbcseg_final_v1\LY_832225_ccrop_mask.png,pbcseg_final_v1\MO_557047_ccrop_mask.png,,True,0.22564800602812338,0.686199218390018,0.46055121236189456,66.2872536767062,28542,terpisah_di_nol,0.0,True,0.983433734939759,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
253,0.9669288442010031,3.0510411494000658,pbcseg_final_v1\LY_828205_ccrop_mask.png,pbcseg_final_v1\MO_945498_ccrop_mask.png,,True,0.37795271086203597,0.5955142262422416,0.21756151538020568,64.51356446515724,20296,terpisah_di_nol,0.0,True,0.9976530829955195,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
