tau,rho,n_kalibrasi,skor_mentah,rec_t1,rec_t2,rec_t3,skor_makro3,rec_harus_pecah,rec_harus_utuh,skor_br,limf_tak_pecah,limf_lobus,eo_lobus
0.0,0.0,5736,0.30142956764295675,0.31317764804003334,0.0545308740978348,0.9976303317535545,0.45511295129714086,0.9979029358897543,0.5772128060263654,0.7875578709580598,0.557660626029654,2.044481054365733,7.760988129611806
0.0,0.1,5736,0.3043933054393305,0.31359466221851545,0.06094627105052125,0.9976303317535545,0.4573904216741971,0.9979029358897543,0.5772128060263654,0.7875578709580598,0.5584843492586491,2.0420098846787478,7.625922361244787
0.0,0.2,5736,0.3082287308228731,0.31442869057547956,0.06896551724137931,0.9976303317535545,0.4603415131901378,0.9979029358897543,0.5772128060263654,0.7875578709580598,0.5584843492586491,2.041186161449753,7.427654796278473
0.0,0.3,5736,0.3113668061366806,0.3156797331109258,0.07538091419406576,0.9964454976303317,0.4625020483117745,0.9979029358897543,0.5772128060263654,0.7875578709580598,0.5584843492586491,2.0354200988467874,7.282964388835419
0.0,0.4,5736,0.31642259414225943,0.31693077564637195,0.08700882117080995,0.9928909952606635,0.46561019735928183,0.9979029358897543,0.5772128060263654,0.7875578709580598,0.5593080724876441,2.0313014827018123,7.061276868784088
0.0,0.5,5736,0.3214783821478382,0.31901584653878234,0.10064153969526865,0.981042654028436,0.46690001342082904,0.9967046135410426,0.5772128060263654,0.786958709783704,0.5601317957166392,2.0214168039538714,6.814565287135066
0.0,0.6,5736,0.32601115760111576,0.3269391159299416,0.11627906976744186,0.943127962085308,0.4621153825942305,0.994008388256441,0.5772128060263654,0.7856105971414031,0.5609555189456342,2.00329489291598,6.397176772537697
0.0,0.7,5736,0.3322873082287308,0.341534612176814,0.14274258219727345,0.8661137440758294,0.45013031281663896,0.9823247453565009,0.5790960451977402,0.7807103952771206,0.5617792421746294,1.9934102141680394,5.710298363811357
0.1,0.0,5736,0.32670850767085075,0.353628023352794,0.07417802726543705,0.9964454976303317,0.47475051608285423,0.9976033553025764,0.6374764595103578,0.8175399074064671,0.6210873146622735,1.843492586490939,6.79339108116779
0.1,0.1,5736,0.3301952580195258,0.3540450375312761,0.0817963111467522,0.9964454976303317,0.47742894876945335,0.9976033553025764,0.6374764595103578,0.8175399074064671,0.6219110378912686,1.8410214168039538,6.65832531280077
0.1,0.2,5736,0.3349023709902371,0.3548790658882402,0.09182036888532479,0.9964454976303317,0.4810483108012989,0.9976033553025764,0.6374764595103578,0.8175399074064671,0.6219110378912686,1.8401976935749589,6.465832531280077
0.1,0.3,5736,0.3392608089260809,0.3565471226021685,0.10064153969526865,0.995260663507109,0.48414977526818204,0.9976033553025764,0.6374764595103578,0.8175399074064671,0.6219110378912686,1.8360790774299836,6.35739493102342
0.1,0.4,5736,0.34431659693165967,0.3577981651376147,0.11226944667201283,0.9917061611374408,0.48725792431568943,0.9976033553025764,0.6374764595103578,0.8175399074064671,0.6227347611202636,1.8319604612850082,6.184472248957331
0.1,0.5,5736,0.35024407252440726,0.3611342785654712,0.12870890136327184,0.9739336492890995,0.48792560973928084,0.9964050329538646,0.6384180790960452,0.8174115560249549,0.6243822075782537,1.8228995057660626,5.964068014116138
