cakupan,n_simpan,n_tunda,n_AB_simpan,akurasi,sens_band,spes_band,akurasi_seimbang,pangsa_tunda_A,pengayaan_A,pangsa_tunda_B,pengayaan_B,pangsa_tunda_C,pengayaan_C,pangsa_tunda_D,pengayaan_D,pangsa_tunda_E,pengayaan_E,pangsa_tunda_F,pengayaan_F
1.0,3329,0,2531,0.9328328723824575,0.9614147909967846,0.8872950819672131,0.9243549364819988,,,,,,,,,,,,
0.95,3163,166,2452,0.9498368678629691,0.9761747187293184,0.9075451647183846,0.9418599417238516,0.26506024096385544,0.5674505094332314,0.21084337349397592,0.7191573671736126,0.463855421686747,2.3325901794489132,0.030120481927710843,2.088980923694779,0.0,0.0,0.030120481927710843,2.005421686746988
0.9,2996,333,2374,0.95787700084246,0.9796610169491525,0.9221357063403782,0.9508983616447654,0.24024024024024024,0.5143149580448616,0.23123123123123124,0.7886975089843943,0.47147147147147145,2.3708890159041216,0.02702702702702703,1.8744369369369371,0.0,0.0,0.03003003003003003,1.9993993993993993
0.85,2830,499,2290,0.9615720524017467,0.9811584089323099,0.9288214702450408,0.9549899395886754,0.24448897795591182,0.5234108087557752,0.23847695390781562,0.8134116593843425,0.46693386773547096,2.348070763884264,0.022044088176352707,1.5288493653974617,0.002004008016032064,0.1755616496150195,0.026052104208416832,1.7345490981963927
0.8,2663,666,2189,0.9657377798081316,0.9817784256559767,0.9388004895960832,0.9602894576260299,0.2747747747747748,0.5882477332638105,0.23873873873873874,0.814304570964407,0.44144144144144143,2.2198769766745596,0.016516516516516516,1.1454892392392393,0.0015015015015015015,0.1315394341710131,0.02702702702702703,1.7994594594594595
0.75,2497,832,2085,0.965947242206235,0.981637337413925,0.9395886889460154,0.9606130131799702,0.2980769230769231,0.6381338115260945,0.23798076923076922,0.8117192425914249,0.4206730769230769,2.115439083197769,0.016826923076923076,1.1670172275641026,0.002403846153846154,0.21058957489878544,0.02403846153846154,1.6004807692307692
0.7,2330,999,1965,0.9669211195928753,0.9828990228013029,0.9402985074626866,0.9615987651319948,0.32732732732732733,0.7007541303361239,0.23923923923923923,0.8160117084297411,0.39039039039039036,1.9631565099843042,0.01701701701701702,1.1802010343677012,0.002002002002002002,0.17538591222801747,0.024024024024024024,1.5995195195195195
0.6,1997,1332,1709,0.973083674663546,0.9814471243042672,0.9587955625990491,0.9701213434516581,0.3581081081081081,0.7666507343356218,0.25900900900900903,0.8834436383104416,0.3400900900900901,1.7102113442747884,0.01951951951951952,1.35376001001001,0.0022522522522522522,0.19730915125651968,0.021021021021021023,1.3995795795795796
0.5,1664,1665,1422,0.9781997187060478,0.9858849077090119,0.9640718562874252,0.9749783819982185,0.38078078078078076,0.8151892085011055,0.2852852852852853,0.9730683552404864,0.2930930930930931,1.473877502880524,0.017417417417417418,1.2079704704704706,0.004204204204204204,0.3683104156788367,0.01921921921921922,1.2796156156156155
