tau,rho,n_A,n_B,auc,J_max,ambang,ambang_atas,lebar_persis,sepertiga_di_interval_persis,plateau_lo,plateau_hi,lebar_plateau_eps,sepertiga_di_plateau_eps,J_sepertiga,defisit_J_sepertiga,akurasi_sepertiga,akurasi_ambang,sens_band,spes_band,n_takpecah_A,n_takpecah_B,n_terpisah0,geser_mean,geser_sd,geser_rentang,frak_br_identik,frak_br_identik_normal
0.0,0.0,1555,976,0.9131842680934057,0.7780895841020505,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7649333192767909,0.013156264825259667,0.8996444093243777,0.9028052153299091,0.957556270096463,0.8073770491803278,21,5,596,-0.0073026132984250714,0.013691981951500084,0.05156686521532869,0.7878228782287823,0.9289347273241029
0.0,0.1,1555,976,0.9135351325707659,0.7779696642243423,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7648133993990828,0.013156264825259556,0.9000395100750691,0.9032003160806006,0.9594855305466238,0.805327868852459,21,5,596,-0.0077289251857304555,0.013236848453227893,0.048874598070739544,0.7894736842105263,0.9313268334039847
0.0,0.2,1555,976,0.9157019266248485,0.782231432185968,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.768050577196774,0.01418085498919397,0.9032003160806006,0.9067562228368234,0.9678456591639871,0.8002049180327869,21,5,596,-0.008961972902835829,0.011778837945732699,0.03903194349269942,0.7969508642454846,0.9423403052572075
0.0,0.3,1555,976,0.9168902535448843,0.7854468662695693,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7708845079331612,0.014562358336408066,0.9051758198340577,0.9087317265902806,0.9717041800643087,0.7991803278688525,21,5,592,-0.008008931378732253,0.012594232886765722,0.04096120394286015,0.7970479704797048,0.9431641453414393
0.0,0.4,1555,976,0.9157628749143429,0.7839972853302409,0.37147841246231744,0.3714956989682348,1.72865059173688e-05,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7705030045859469,0.01349428074429404,0.9051758198340577,0.9059660213354406,0.9723472668810289,0.798155737704918,21,5,587,-0.00863000959676883,0.012621645105339618,0.03955511043171153,0.795882695669062,0.9424165251839276
0.0,0.5,1555,976,0.911558760740077,0.7816100890833377,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7690969110747984,0.01251317800853935,0.9047807190833662,0.9075464243382062,0.9729903536977492,0.7961065573770492,24,7,572,-0.010379158456347938,0.01237174170566263,0.03748418638975286,0.7904447465527287,0.9366316983271903
0.0,0.6,1555,976,0.895311594011913,0.7720072742607138,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.3587657577822075,0.0,False,0.7594940962521743,0.01251317800853946,0.9012248123271435,0.9039905175819835,0.9736334405144694,0.7858606557377049,38,19,556,-0.014899423981962414,0.010285034263119984,0.03547849349006377,0.7820936104097883,0.9263217899387203
0.0,0.7,1555,976,0.8553515892678298,0.7389805492593959,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7278734647620052,0.011107084497390729,0.889766890557092,0.8921374950612406,0.9768488745980708,0.7510245901639344,80,36,528,-0.02735937012032912,0.010948435643280555,0.04043869590427496,0.7563604583414255,0.9016274338854984
0.1,0.0,1555,976,0.912457830372674,0.7770649939381161,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7639087291128565,0.013156264825259667,0.8992493085736862,0.9024101145792177,0.957556270096463,0.8063524590163934,29,6,596,-0.006398433048697172,0.011980150281305932,0.04744676084550105,0.8054962128568655,0.9335970613167561
0.1,0.1,1555,976,0.9126334273364608,0.776945074060408,0.3587657577822075,0.3593394089315999,0.0005736511493923957,False,0.3587657577822075,0.37242264987106555,0.013656892088858064,False,0.7637888092351484,0.013156264825259667,0.8996444093243777,0.9028052153299091,0.9594855305466238,0.8043032786885246,29,6,596,-0.0070512874848121816,0.011755921689354309,0.044754493700911904,0.8072441250728297,0.936263425664217
