varian,tau,rho,diskret,batasi_sel,isi_lubang,pad,min_frak,n,auc,ambang,akurasi_sepertiga,r_lobus_maks,r_lobus_mean,frak_takpecah,frak_terpisah0,pearson_v1,spearman_v1,pindah_sisi_13,n_banding_v1
final,0.75,0.2,0.0,1,1,1,0.02,3329,0.9072334088872488,0.3587657577822075,0.9043856183326748,50.53711507397311,23.853389547542026,0.05437068188645239,0.02313006908981676,0.6762182208011092,0.7144845676571532,445,3279
tanpa_batas_sel,0.75,0.2,0.0,0,1,1,0.02,3329,0.8822208897791366,0.3587657577822075,0.8885815883050178,51.86520991955976,23.953427550635357,0.05226794833283268,0.046860919194953436,0.7359481837747598,0.7805580113270587,382,3279
tanpa_isi_lubang,0.75,0.2,0.0,1,0,1,0.02,3329,0.9664023377787149,0.3587657577822075,0.9324377716317661,50.53711507397311,22.806806799039748,0.018624211474917392,0.02313006908981676,0.8374105942239546,0.8432263230377537,307,3279
tanpa_pad,0.75,0.2,0.0,1,1,0,0.02,3329,0.9071889331084286,0.3587657577822075,0.9043856183326748,50.53711507397311,23.87187001160162,0.053469510363472514,0.02313006908981676,0.6773116150278592,0.7151069349509203,443,3279
tanpa_filter,0.0,0.0,0.0,1,1,1,0.02,3329,0.9131842680934057,0.3587657577822075,0.8996444093243777,50.53711507397311,23.853389547542026,0.009912886752778613,0.02313006908981676,0.7593983309130528,0.7652787381746311,379,3279
diskret_0p5,0.75,0.2,0.5,1,1,1,0.02,3329,0.9073645300722153,0.37063029945441345,0.9075464243382062,50.53711507397311,23.853389547542026,0.05437068188645239,0.02313006908981676,0.6793659052150891,0.714592341709512,453,3279
emulasi_v1,0.0,0.0,0.5,0,0,0,0.0,3329,0.9319214195350799,0.3695857030589318,0.9099170288423548,70.3846574190711,23.00200110917783,0.0024031240612796636,0.04746170021027336,0.9438464029681536,0.949181677339977,156,3279
