tau,rho,n_kalibrasi,skor_mentah,rec_t1,rec_t2,rec_t3,skor_makro3,skor_makro4,rec_u_round,lobus_u_round,rec_u_indented,lobus_u_indented,rec_s_bilobed,lobus_s_bilobed,rec_s_multilobed,lobus_s_multilobed,rec_harus_pecah,rec_harus_utuh,skor_br,limf_tak_pecah,limf_lobus
0.0,0.0,5736,0.30509065550906556,0.31859883236030023,0.060144346431435444,0.990521327014218,0.45642150193531794,0.4352738870398757,0.5781544256120528,2.074387947269303,0.1122754491017964,7.122754491017964,0.060144346431435444,7.240176423416199,0.990521327014218,8.10781990521327,0.9928100659077291,0.5781544256120528,0.7854822457598909,0.557660626029654,2.025535420098847
0.0,0.1,5736,0.3078800557880056,0.31901584653878234,0.066158781074579,0.990521327014218,0.4585653182091931,0.43696462144916454,0.5781544256120528,2.074387947269303,0.11302395209580839,7.11751497005988,0.066158781074579,7.1367281475541295,0.990521327014218,7.949052132701421,0.9928100659077291,0.5781544256120528,0.7854822457598909,0.5584843492586491,2.0247116968698515
0.0,0.2,5736,0.31049511854951184,0.31901584653878234,0.07257417802726544,0.9893364928909952,0.4603088391523477,0.4382722621565305,0.5781544256120528,2.071563088512241,0.11302395209580839,7.104041916167665,0.07257417802726544,6.9763432237369685,0.9893364928909952,7.760663507109005,0.9928100659077291,0.5781544256120528,0.7854822457598909,0.5584843492586491,2.0230642504118617
0.0,0.3,5736,0.3132845188284519,0.3194328607172644,0.07898957497995189,0.9881516587677726,0.46219136482166295,0.43976702861239936,0.5781544256120528,2.065913370998117,0.11377245508982035,7.07185628742515,0.07898957497995189,6.853247794707298,0.9881516587677726,7.639810426540285,0.9928100659077291,0.5781544256120528,0.7854822457598909,0.5584843492586491,2.0172981878088962
0.0,0.4,5736,0.3171199442119944,0.32068390325271057,0.08821170809943865,0.9834123222748815,0.46410264454234357,0.4414491050145573,0.5781544256120528,2.0649717514124295,0.11601796407185629,7.008982035928144,0.08821170809943865,6.661186848436247,0.9834123222748815,7.395734597156398,0.9928100659077291,0.5781544256120528,0.7854822457598909,0.5584843492586491,2.015650741350906
0.0,0.5,5736,0.32200139470013944,0.323185988323603,0.10144346431435446,0.9703791469194313,0.46500286651912964,0.4426215047204417,0.5781544256120528,2.062146892655367,0.12050898203592815,6.834580838323354,0.10144346431435446,6.4683239775461105,0.9703791469194313,7.056872037914692,0.9916117435590174,0.5781544256120528,0.784883084585535,0.5584843492586491,2.0074135090609557
0.0,0.6,5736,0.3261854951185495,0.3302752293577982,0.11668003207698477,0.933649289099526,0.4602015168447697,0.4404293199306738,0.5781544256120528,2.0602636534839927,0.13323353293413173,6.514221556886228,0.11668003207698477,6.1214915797915,0.933649289099526,6.511848341232228,0.988016776512882,0.5781544256120528,0.7830856010624674,0.5601317957166392,2.0016474464579903
0.0,0.7,5736,0.33281032078103207,0.3457047539616347,0.14394546912590217,0.8542654028436019,0.4479718753103796,0.43437163947145174,0.5790960451977402,2.059322033898305,0.1601796407185629,5.862275449101796,0.14394546912590217,5.543303929430634,0.8542654028436019,5.558056872037914,0.9748352306770521,0.5790960451977402,0.7769656379373961,0.5609555189456342,1.9950576606260297
0.1,0.0,5736,0.3312412831241283,0.3615512927439533,0.08019246190858059,0.9869668246445498,0.4762368597656946,0.4618093870272786,0.6393596986817326,1.8634651600753296,0.1407185628742515,5.969311377245509,0.08019246190858059,6.292702485966319,0.9869668246445498,7.145734597156398,0.9907130017974836,0.6393596986817326,0.8150363502396081,0.6210873146622735,1.8245469522240527
0.1,0.1,5736,0.3345536959553696,0.36196830692243537,0.08740978348035285,0.9869668246445498,0.47878163834911264,0.46380084316872466,0.6393596986817326,1.8634651600753296,0.14146706586826346,5.9640718562874255,0.08740978348035285,6.1892542101042505,0.9869668246445498,6.98696682464455,0.9907130017974836,0.6393596986817326,0.8150363502396081,0.6219110378912686,1.8237232289950576
0.1,0.2,5736,0.33751743375174337,0.36196830692243537,0.0946271050521251,0.985781990521327,0.4807924674986291,0.46530896503086205,0.6393596986817326,1.8615819209039548,0.14146706586826346,5.952095808383233,0.0946271050521251,6.035685645549318,0.985781990521327,6.803317535545023,0.9907130017974836,0.6393596986817326,0.8150363502396081,0.6219110378912686,1.8228995057660626
0.1,0.3,5736,0.3415271966527197,0.3632193494578816,0.10344827586206896,0.9834123222748815,0.48335998253161067,0.4674832179172456,0.6393596986817326,1.856873822975518,0.1437125748502994,5.925149700598802,0.10344827586206896,5.942261427425822,0.9834123222748815,6.716824644549763,0.9907130017974836,0.6393596986817326,0.8150363502396081,0.6219110378912686,1.8187808896210873
0.1,0.4,5736,0.3458856345885635,0.36447039199332776,0.11347233360064155,0.9798578199052133,0.48593351516639416,0.4696619840049807,0.6393596986817326,1.8559322033898304,0.14595808383233533,5.868263473053892,0.11347233360064155,5.793103448275862,0.9798578199052133,6.527251184834123,0.9907130017974836,0.6393596986817326,0.8150363502396081,0.6219110378912686,1.8171334431630972
0.1,0.5,5736,0.35094142259414224,0.36822351959966637,0.12910986367281477,0.957345971563981,0.4848931182788207,0.46967581532216174,0.64030131826742,1.8531073446327684,0.15194610778443113,5.713323353293413,0.12910986367281477,5.621090617481957,0.957345971563981,6.232227488151659,0.9895146794487717,0.64030131826742,0.8149079988580958,0.6227347611202636,1.8097199341021417
0.1,0.6,5736,0.3568688981868898,0.3761467889908257,0.1475541299117883,0.9206161137440758,0.48143901088222996,0.4686598066484857,0.64030131826742,1.8521657250470809,0.1661676646706587,5.462574850299402,0.1475541299117883,5.318364073777065,0.9206161137440758,5.739336492890995,0.9856201318154584,0.64030131826742,0.8129607250414392,0.6243822075782537,1.8056013179571664
0.1,0.7,5736,0.3652370990237099,0.39115929941618016,0.18283881315156375,0.830568720379147,0.46818894431563035,0.461753935211224,0.6412429378531074,1.8512241054613936,0.19236526946107785,4.961826347305389,0.18283881315156375,4.826383319967923,0.830568720379147,4.915876777251185,0.9712402636309168,0.6412429378531074,0.8062416007420121,0.6252059308072487,1.799011532125206
0.25,0.0,5736,0.4504881450488145,0.5145954962468724,0.22253408179631115,0.9419431279620853,0.5596909020017563,0.5645181262608832,0.8286252354048964,1.2881355932203389,0.26497005988023953,3.252245508982036,0.22253408179631115,4.028869286287089,0.9419431279620853,4.867298578199052,0.9811264230077891,0.8286252354048964,0.9048758292063428,0.814662273476112,1.2833607907742999
0.25,0.1,5736,0.4555439330543933,0.5150125104253545,0.23376102646351243,0.9419431279620853,0.5635722216169841,0.5675119881761864,0.8286252354048964,1.2881355932203389,0.2657185628742515,3.247754491017964,0.23376102646351243,3.967923015236568,0.9419431279620853,4.748815165876778,0.9811264230077891,0.8286252354048964,0.9048758292063428,0.8154859967051071,1.2825370675453047
0.25,0.2,5736,0.46112273361227335,0.5150125104253545,0.24699278267842822,0.9407582938388626,0.5675878623142151,0.5705237186991097,0.8286252354048964,1.2871939736346516,0.2657185628742515,3.2380239520958085,0.24699278267842822,3.8728949478749,0.9407582938388626,4.648104265402844,0.9808268424206111,0.8286252354048964,0.9047260389127538,0.8154859967051071,1.2825370675453047
0.25,0.3,5736,0.4675732217573222,0.5162635529608006,0.26182838813151565,0.9372037914691943,0.5717652441871702,0.5739053717154735,0.8286252354048964,1.283427495291902,0.2679640718562874,3.219311377245509,0.26182838813151565,3.805533279871692,0.9372037914691943,4.590047393364929,0.9805272618334332,0.8286252354048964,0.9045762486191649,0.8154859967051071,1.2792421746293245
