L,skor_makro,round,indented,bilobed,multilobed,frak_lubang_diisi
0.0,0.8319253730477425,0.992467043314501,0.7582335329341318,0.8412189254210104,0.735781990521327,0.0
1.0,0.8319253730477425,0.992467043314501,0.7582335329341318,0.8412189254210104,0.735781990521327,0.0
1.5,0.8319253730477425,0.992467043314501,0.7582335329341318,0.8412189254210104,0.735781990521327,0.0
2.0,0.8298252025195658,0.992467043314501,0.7597305389221557,0.8396150761828388,0.7274881516587678,0.34573119188503804
2.5,0.8298252025195658,0.992467043314501,0.7597305389221557,0.8396150761828388,0.7274881516587678,0.34573119188503804
3.0,0.8295113095789262,0.992467043314501,0.7612275449101796,0.8404170008019246,0.7239336492890995,0.4015215553677092
4.0,0.8271973024897095,0.992467043314501,0.7634730538922155,0.8372093023255814,0.7156398104265402,0.48520710059171596
5.0,0.8259456913351446,0.992467043314501,0.7672155688622755,0.8331996792301524,0.7109004739336493,0.5325443786982249
6.0,0.8228560253613615,0.9934086629001884,0.7709580838323353,0.8291900561347233,0.6978672985781991,0.6208791208791209
8.0,0.8207848051778768,0.9934086629001884,0.7761976047904192,0.8227746591820368,0.6907582938388626,0.7075232459847844
12.0,0.819604818514536,0.9934086629001884,0.7881736526946108,0.8155573376102646,0.6812796208530806,0.8558748943364328
999.0,0.8120208424857489,0.9943502824858758,0.8001497005988024,0.8019246190858059,0.6516587677725119,1.0
